superkingdom_id	kingdom_id	phylum_id	class_id	order_id	family_id	genus_id	species_id
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9632: 'Ursidae'}	{9639: 'Ursus'}	{9644: 'Ursus arctos'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{8504: 'Lepidosauria'}	{8509: 'Squamata'}	{8602: 'Elapidae'}	{8672: 'Pseudonaja'}	{8673: 'Pseudonaja textilis'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{7995: 'Siluriformes'}	{7999: 'Pangasiidae'}	{30992: 'Pangasianodon'}	{310915: 'Pangasianodon hypophthalmus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{8002: 'Gymnotiformes'}	{30771: 'Gymnotidae'}	{8004: 'Electrophorus'}	{8005: 'Electrophorus electricus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{91561: 'Artiodactyla'}	{9726: 'Delphinidae'}	{27609: 'Lagenorhynchus'}	{90247: 'Lagenorhynchus obliquidens'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{7995: 'Siluriformes'}	{31013: 'Bagridae'}	{641818: 'Tachysurus'}	{1234273: 'Tachysurus fulvidraco'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{91561: 'Artiodactyla'}	{9895: 'Bovidae'}	{9903: 'Bos'}	{30522: 'Bos indicus x Bos taurus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9702: 'Otariidae'}	{9703: 'Zalophus'}	{9704: 'Zalophus californianus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{38609: 'Diprotodontia'}	{9338: 'Vombatidae'}	{29138: 'Vombatus'}	{29139: 'Vombatus ursinus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9989: 'Rodentia'}	{55153: 'Sciuridae'}	{9992: 'Marmota'}	{93162: 'Marmota flaviventris'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{28738: 'Cyprinodontiformes'}	{8079: 'Poeciliidae'}	{8082: 'Xiphophorus'}	{32473: 'Xiphophorus couchianus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9702: 'Otariidae'}	{34885: 'Eumetopias'}	{34886: 'Eumetopias jubatus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	<not present>	{205120: 'Ambassidae'}	{210631: 'Parambassis'}	{210632: 'Parambassis ranga'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{1489921: 'Blenniiformes'}	{63826: 'Gobiesocidae'}	{210581: 'Gouania'}	{441366: 'Gouania willdenowi'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9397: 'Chiroptera'}	{9415: 'Phyllostomidae'}	{9422: 'Phyllostomus'}	{89673: 'Phyllostomus discolor'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{8111: 'Perciformes'}	{8165: 'Percidae'}	{8166: 'Perca'}	{8167: 'Perca flavescens'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{8504: 'Lepidosauria'}	{8509: 'Squamata'}	{8522: 'Lacertidae'}	{42163: 'Podarcis'}	{64176: 'Podarcis muralis'}
