kingdom_id	phylum_id	class_id	order_id	family_id	genus_id	species_id
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{28738: 'Cyprinodontiformes'}	{8079: 'Poeciliidae'}	{8082: 'Xiphophorus'}	{32473: 'Xiphophorus couchianus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9702: 'Otariidae'}	{34885: 'Eumetopias'}	{34886: 'Eumetopias jubatus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	<not present>	{205120: 'Ambassidae'}	{210631: 'Parambassis'}	{210632: 'Parambassis ranga'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{1489921: 'Blenniiformes'}	{63826: 'Gobiesocidae'}	{210581: 'Gouania'}	{441366: 'Gouania willdenowi'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9397: 'Chiroptera'}	{9415: 'Phyllostomidae'}	{9422: 'Phyllostomus'}	{89673: 'Phyllostomus discolor'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{8111: 'Perciformes'}	{8165: 'Percidae'}	{8166: 'Perca'}	{8167: 'Perca flavescens'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{8504: 'Lepidosauria'}	{8509: 'Squamata'}	{8522: 'Lacertidae'}	{42163: 'Podarcis'}	{64176: 'Podarcis muralis'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9989: 'Rodentia'}	{10066: 'Muridae'}	{121588: 'Grammomys'}	{491861: 'Grammomys surdaster'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9989: 'Rodentia'}	{337677: 'Cricetidae'}	{10040: 'Peromyscus'}	{10041: 'Peromyscus leucopus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{32446: 'Clupeiformes'}	{299319: 'Denticipitidae'}	{299320: 'Denticeps'}	{299321: 'Denticeps clupeoides'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{91561: 'Artiodactyla'}	{9747: 'Monodontidae'}	{40150: 'Monodon'}	{40151: 'Monodon monoceros'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{8111: 'Perciformes'}	{36203: 'Bovichtidae'}	{56715: 'Cottoperca'}	{56716: 'Cottoperca gobio'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{1489907: 'Carangiformes'}	{173245: 'Echeneidae'}	{173246: 'Echeneis'}	{173247: 'Echeneis naucrates'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9697: 'Herpestidae'}	{37031: 'Suricata'}	{37032: 'Suricata suricatta'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{1490028: 'Holocentriformes'}	{47697: 'Holocentridae'}	{47699: 'Myripristis'}	{586833: 'Myripristis murdjan'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{1489921: 'Blenniiformes'}	{56718: 'Blenniidae'}	{94311: 'Salarias'}	{181472: 'Salarias fasciatus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{1489876: 'Kurtiformes'}	{83881: 'Apogonidae'}	{375763: 'Sphaeramia'}	{375764: 'Sphaeramia orbicularis'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{8292: 'Amphibia'}	{8445: 'Gymnophiona'}	{1277737: 'Siphonopidae'}	{264009: 'Microcaecilia'}	{1415580: 'Microcaecilia unicolor'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9681: 'Felidae'}	{13124: 'Lynx'}	{61383: 'Lynx canadensis'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	<not present>	{8459: 'Testudines'}	{8487: 'Testudinidae'}	{38771: 'Gopherus'}	{1825980: 'Gopherus evgoodei'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{1489911: 'Cichliformes'}	{8113: 'Cichlidae'}	{61816: 'Archocentrus'}	{63155: 'Archocentrus centrarchus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{29140: 'Gonorynchiformes'}	{29142: 'Chanidae'}	{29143: 'Chanos'}	{29144: 'Chanos chanos'}
